50010554,49989448
49999569,50000433
50008366,49991636
50004222,49995780
50001449,49998553
49997527,50002475
50002793,49997209
50008806,49991196
50000431,49999571
49988201,50011801
50006947,49993055
49999220,50000782
50012077,49987925
50000941,49999061
49994940,50005062
49990997,50009005
49998750,50001252
50012768,49987234
49998848,50001154
49992358,50007644
50011757,49988245
49997208,50002794
50003357,49996645
50002743,49997259
49994256,50005746
50003840,49996162
50008541,49991461
50003221,49996781
49993249,50006753
49995866,50004136
49994462,50005540
50006807,49993195
49994498,50005504
50002218,49997784
50002516,49997486
49988317,50011685
49998691,50001311
50001793,49998209
50002414,49997588
49999460,50000542
49997886,50002116
50007496,49992506
49998057,50001945
49994149,50005853
49998585,50001417
50001599,49998403
49992400,50007602
49990293,50009709
49991929,50008073
49991791,50008211
50016769,49983233
49999285,50000717
49995972,50004030
50013049,49986953
49987914,50012088
50013936,49986066
49973006,50026996
49988811,50011191
49987662,50012340
49991011,50008991
50008375,49991627
50008412,49991590
49998978,50001024
49997317,50002685
49995630,50004372
49997791,50002211
49993822,50006180
50003086,49996916
49996449,50003553
50016267,49983735
50016211,49983791
50015379,49984623
49987064,50012938
49985650,50014352
50009511,49990491
50007656,49992346
49989678,50010324
50009010,49990992
50054017,49945985
49984140,50015862
50001634,49998368
15112372,84887630
42543264,57456738
65714063,34285939
82616556,17383446
24458812,75541190
50641278,49358724
15164329,84835673
22813379,77186623
72127945,27872057
11691180,88308822
77277227,22722775
52051474,47948528
10035192,89964810
2780511,97219491
24612364,75387638
18011498,81988504
617480,99382522
83652755,16347247
25319863,74680139
