0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4945380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3710249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2949739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,127695,0,0,0,0,0,0,0,0,0,0,0,0,0,565272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319089,0,0,0,0,0,0,0,0,0,0,0,0,0,2075476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396255,0,0,0,0,0,0,0,0,0,0,0,0,0,2072338,0,0,0,0,0,0,0,0,0,0,0,0,0,1308617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562048,0,0,0,0,0,0,0,0,0,0,0,0,0,126618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,81812,0,0,0,0,0,0,0,0,0,0,0,0,385275,0,0,0,0,0,0,0,0,0,0,0,0,971257,0,0,0,0,0,0,0,0,0,0,0,0,1678187,0,0,0,0,0,0,0,0,0,0,0,0,2169732,0,0,0,0,0,0,0,0,0,0,0,0,2167571,0,0,0,0,0,0,0,0,0,0,0,0,1672176,0,0,0,0,0,0,0,0,0,0,0,0,963432,0,0,0,0,0,0,0,0,0,0,0,0,383175,0,0,0,0,0,0,0,0,0,0,0,0,80791,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52821,0,0,0,0,0,0,0,0,0,0,0,263921,0,0,0,0,0,0,0,0,0,0,0,710374,0,0,0,0,0,0,0,0,0,0,0,1328053,0,0,0,0,0,0,0,0,0,0,0,1878208,0,0,0,0,0,0,0,0,0,0,0,2104621,0,0,0,0,0,0,0,0,0,0,0,1876981,0,0,0,0,0,0,0,0,0,0,0,1319198,0,0,0,0,0,0,0,0,0,0,0,705127,0,0,0,0,0,0,0,0,0,0,0,262170,0,0,0,0,0,0,0,0,0,0,0,51934,0,0,0,0,0,0,0,0,0,0,0
